1,2,2
2,4,6
3,6,12
4,8,20
5,10,30
6,12,42
7,14,56
8,16,72
9,18,90
10,20,110
11,22,132
12,24,156
13,26,182
14,28,210
15,30,240
16,32,272
17,34,306
18,36,342
19,38,380
20,40,420
21,42,462
22,44,506
23,46,552
24,48,600
25,50,650
26,52,702
27,54,756
28,56,812
29,58,870
30,60,930
31,62,992
32,64,1056
33,66,1122
34,68,1190
35,70,1260
36,72,1332
37,74,1406
38,76,1482
39,78,1560
40,80,1640
41,82,1722
42,84,1806
43,86,1892
44,88,1980
45,90,2070
46,92,2162
47,94,2256
48,96,2352
49,98,2450
50,100,2550
