1,9,9
2,18,27
3,27,54
4,36,90
5,45,135
6,54,189
7,63,252
8,72,324
9,81,405
10,90,495
11,99,594
12,108,702
13,117,819
14,126,945
15,135,1080
16,144,1224
17,153,1377
18,162,1539
19,171,1710
20,180,1890
21,189,2079
22,198,2277
23,207,2484
24,216,2700
25,225,2925
26,234,3159
27,243,3402
28,252,3654
29,261,3915
30,270,4185
31,279,4464
32,288,4752
33,297,5049
34,306,5355
35,315,5670
36,324,5994
37,333,6327
38,342,6669
39,351,7020
40,360,7380
41,369,7749
42,378,8127
43,387,8514
44,396,8910
45,405,9315
46,414,9729
47,423,10152
48,432,10584
49,441,11025
50,450,11475
