1,6,6
2,12,18
3,18,36
4,24,60
5,30,90
6,36,126
7,42,168
8,48,216
9,54,270
10,60,330
11,66,396
12,72,468
13,78,546
14,84,630
15,90,720
16,96,816
17,102,918
18,108,1026
19,114,1140
20,120,1260
21,126,1386
22,132,1518
23,138,1656
24,144,1800
25,150,1950
26,156,2106
27,162,2268
28,168,2436
29,174,2610
30,180,2790
31,186,2976
32,192,3168
33,198,3366
34,204,3570
35,210,3780
36,216,3996
37,222,4218
38,228,4446
39,234,4680
40,240,4920
41,246,5166
42,252,5418
43,258,5676
44,264,5940
45,270,6210
46,276,6486
47,282,6768
48,288,7056
49,294,7350
50,300,7650
